3 1:-60.28571429 2:-74.25 3:0
2 1:0 2:0 3:-59
1 1:-75 2:-58.5 3:-68
1 1:-72 2:-56 3:-66.66666667
1 1:-70 2:-49.36842105 3:-80.66666667
2 1:0 2:-81.33333333 3:-57.75
1 1:-73 2:-58 3:0
1 1:-66.57142857 2:-50 3:-75
2 1:-85 2:-85.14285714 3:-41.53333333
2 1:0 2:-72.78571429 3:-57.11380145
2 1:-83.8 2:0 3:-49.66666667
2 1:0 2:0 3:-61.11111111
3 1:0 2:-60 3:-84
1 1:-68.50617284 2:-50.54320988 3:-72.03482046
1 1:-78.95 2:-61.25454545 3:-80.06557377
1 1:-67.38686131 2:-52.15418502 3:-78.01724138
1 1:-72.90384615 2:-56.50549451 3:-78.6446281
1 1:-82 2:-58.76190476 3:-81.07692308
1 1:-67.23529412 2:-48.84615385 3:-75
1 1:-80.33333333 2:-57.14285714 3:-82.36363636
4 1:-70.4 2:-80 3:-76
3 1:-53.85964912 2:-72.7751938 3:0
